nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2
B043,0.1055,-1.09,0.48,gdal_viewshed,0.3744,1.0,0.4934,0.3651,0.4545,0.1055,0.4934,1.0,0.544
B044,0.0649,0.01,8.74,gdal_viewshed,0.3908,0.8504,0.4354,0.3198,0.3983,0.0649,0.4354,0.97,0.5008
B045,0.0,45.38,15.08,gdal_viewshed,1.0,0.5968,0.5323,0.4194,0.479,0.0,0.5323,0.9007,0.5995
B046,0.0,36.46,5.81,gdal_viewshed,0.9334,0.9676,0.6337,0.4735,0.5703,0.0,0.6337,0.9823,0.67
B047,0.0,-8.62,5.5,gdal_viewshed,0.2623,0.98,0.4142,0.2747,0.3727,0.0,0.4142,1.0,0.4747
B048,0.0,-4.49,8.84,gdal_viewshed,0.3238,0.8464,0.3901,0.2664,0.3511,0.0,0.3901,1.0,0.4664
A010,0.0043,-2.48,3.74,gdal_viewshed,0.3537,1.0,0.4527,0.3083,0.4078,0.0043,0.4527,1.0,0.5074
A005,0.0043,-0.33,0.77,gdal_viewshed,0.3857,1.0,0.4634,0.3179,0.4174,0.0043,0.4634,1.0,0.517
A006,0.0043,-0.66,0.94,gdal_viewshed,0.3808,1.0,0.4618,0.3164,0.416,0.0043,0.4618,1.0,0.5155
A002,0.0043,11.73,10.59,gdal_viewshed,0.5652,0.7764,0.4487,0.327,0.4042,0.0043,0.4487,1.0,0.5261
